Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Included / International,Price / International,Compare At Price / International,Status
bean-bag-chair-cover-not-a-full-bean-bag-large-round-soft-fluffy-ultra-fine-fiber-velvet-sofa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/71Bwl8sQ0xL._AC_SL1500.jpg?v=1695529952,9,,,,,,,,,,,,,,,,,,,,,,,,
bean-bag-chair-cover-not-a-full-bean-bag-large-round-soft-fluffy-ultra-fine-fiber-velvet-sofa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/71TX4HlFRIL._AC_SL1500.jpg?v=1695529952,10,,,,,,,,,,,,,,,,,,,,,,,,
bean-bag-chair-cover-not-a-full-bean-bag-large-round-soft-fluffy-ultra-fine-fiber-velvet-sofa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/81OG51W7mgL._AC_SL1500.jpg?v=1695529952,11,,,,,,,,,,,,,,,,,,,,,,,,
bean-bag-chair-cover-not-a-full-bean-bag-large-round-soft-fluffy-ultra-fine-fiber-velvet-sofa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/712FgjxzANL._AC_SL1500.jpg?v=1695529952,12,,,,,,,,,,,,,,,,,,,,,,,,
bean-bag-chair-giant-high-density-foam-filling-sofa,Bean Bag Chair Giant High-Density Foam Filling Sofa,"<div class=""a-row a-spacing-small po-item_depth_width_height"" data-mce-fragment=""1"">
<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">【Super Comfortable】: Our fabric has a unique leather appearance, soft and comfortable, skin-friendly, Wear-resistant and breathable.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">【High Density Foam Filling】: This cute chair is filled with N&amp;V signature hexagonal foam filling. This filling is freshly made from high quality high density foam. The foam filling offers a better support and a much better saggy resistance compare to traditional bean filling. In addition, the foam won’t make the unpleasant squeak that the traditional bean filling does.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">【Perfect Size】: The N&amp;V bean bag sack is a perfect addition to your living room, bedroom, basement, gaming room or home theater. Measuring 39” *27.6” *34.7” with 20” seat depth. Get this bean bag chair to join your living room seating group or spruce up an unused corner of the your sweet home.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">【Easy Clean】: You just need to do is clean up with wet wipes and your bean bag will look new.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">【Lightweight】:Our bean bag sofa is lightweight and let you relax in dorm rooms, rec rooms, and more</span></li>
</ul>
</div>
<div class=""a-row a-spacing-small po-item_depth_width_height"" data-mce-fragment=""1""><span class=""a-size-base a-text-bold"" data-mce-fragment=""1""></span></div>
<div class=""a-row a-spacing-small po-item_depth_width_height"" data-mce-fragment=""1"">
<span class=""a-size-base a-text-bold"" data-mce-fragment=""1"">Product Dimensions:</span><span data-mce-fragment=""1""> </span><span class=""a-size-base po-break-word"" data-mce-fragment=""1"">20""D x 39""W x 34.7""H</span>
</div>
<div class=""a-row a-spacing-small po-pattern"" data-mce-fragment=""1"">
<span class=""a-size-base a-text-bold"" data-mce-fragment=""1"">Pattern:</span><span data-mce-fragment=""1""> </span><span class=""a-size-base po-break-word"" data-mce-fragment=""1"">Solid</span>
</div>
<div class=""a-row a-spacing-small po-special_feature"" data-mce-fragment=""1"">
<span class=""a-size-base a-text-bold"" data-mce-fragment=""1"">Special Feature:</span><span data-mce-fragment=""1""> </span><span class=""a-size-base po-break-word"" data-mce-fragment=""1"">Lightweight</span>
</div>
<div class=""a-row a-spacing-small po-age_range_description"" data-mce-fragment=""1"">
<span class=""a-size-base a-text-bold"" data-mce-fragment=""1"">Age Range (Description):</span><span data-mce-fragment=""1""> </span><span class=""a-size-base po-break-word"" data-mce-fragment=""1"">Adult</span>
</div>
<div class=""a-row a-spacing-small po-fabric_type"" data-mce-fragment=""1"">
<span class=""a-size-base a-text-bold"" data-mce-fragment=""1"">Fabric Type:</span><span data-mce-fragment=""1""> </span><span class=""a-size-base po-break-word"" data-mce-fragment=""1"">Leather</span>
</div>
<div class=""a-row a-spacing-small po-room_type"" data-mce-fragment=""1"">
<span class=""a-size-base a-text-bold"" data-mce-fragment=""1"">Room Type:</span><span data-mce-fragment=""1""> </span><span class=""a-size-base po-break-word"" data-mce-fragment=""1"">Bedroom, Dorm, Living Room, Room</span>
</div>
<div class=""a-row a-spacing-small po-style"" data-mce-fragment=""1"">
<span class=""a-size-base a-text-bold"" data-mce-fragment=""1"">Style:</span><span data-mce-fragment=""1""> </span><span class=""a-size-base po-break-word"" data-mce-fragment=""1"">Retro</span>
</div>
<div class=""a-row a-spacing-small po-item_firmness_description"" data-mce-fragment=""1"">
<span class=""a-size-base a-text-bold"" data-mce-fragment=""1"">Item Firmness Description:</span><span data-mce-fragment=""1""> </span><span class=""a-size-base po-break-word"" data-mce-fragment=""1"">Soft</span>
</div>",My Store,Furniture > Chairs,Bean Bag,"Amazing Soft Sofa, Bean Bag, Bean Bag Chair, Brown Color, Leather, Modern, Removable, Soft Chair, Solid Pattern, Traditional, Western",true,Color,Blue,,,,,"",0.0,shopify,1000,deny,manual,299.00,999.00,true,true,"",https://cdn.shopify.com/s/files/1/0835/0508/6764/products/81rRL4vZJ8L._AC_SX466.jpg?v=1695529992,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/81rRL4vZJ8L._AC_SX466.jpg?v=1695529992,kg,,,true,true,,,active
bean-bag-chair-giant-high-density-foam-filling-sofa,,,,,,,,,Brown,,,,,"",0.0,shopify,1000,deny,manual,299.00,999.00,true,true,"",https://cdn.shopify.com/s/files/1/0835/0508/6764/products/81NQ9eoZcEL._AC_SL1500.jpg?v=1695529992,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/71MVodjkanL._AC_SL1500.jpg?v=1695529992,kg,,,,,,,
bean-bag-chair-giant-high-density-foam-filling-sofa,,,,,,,,,Green,,,,,"",0.0,shopify,1000,deny,manual,299.00,999.00,true,true,"",https://cdn.shopify.com/s/files/1/0835/0508/6764/products/717A-WeewEL._AC_SL1500.jpg?v=1695529992,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/71-mu6EK19L._AC_SL1500.jpg?v=1695529992,kg,,,,,,,
bean-bag-chair-giant-high-density-foam-filling-sofa,,,,,,,,,Grey,,,,,"",0.0,shopify,1000,deny,manual,299.00,999.00,true,true,"",https://cdn.shopify.com/s/files/1/0835/0508/6764/products/71bWGN_lsjL._AC_SL1500.jpg?v=1695529992,4,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/71-ZBLdrPDL._AC_SL1500.jpg?v=1695529992,kg,,,,,,,
bean-bag-chair-giant-high-density-foam-filling-sofa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/61Pa0lSqA6L._AC_SL1500__1.jpg?v=1695529992,5,,,,,,,,,,,,,,,,,,,,,,,,
bean-bag-chair-giant-high-density-foam-filling-sofa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/71oVpAhiIwL._AC_SL1500__1.jpg?v=1695529992,6,,,,,,,,,,,,,,,,,,,,,,,,
